canonical_smiles,affinity_nM
COc1ccc2c(c1)C(=O)N(C[C@]1(C#Cc3ccnc(SC)n3)NC(=O)NC1=O)C2,0.317
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4ccc(O)c(-c5cn[nH]c5)n4)c3)NC(=O)NC1=O)C2,0.32
CCN1CCN(C(CO)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1,0.32
O=C1NC(=O)[C@](C#Cc2cccnc2)(CN2Cc3ccc(I)cc3C2=O)N1,0.324
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(CN(C)C)n[nH]c4c3)NC(=O)NC1=O)C2,0.325
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(N4CCNC4=O)cc3)NC(=O)NC1=O)C2,0.33
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(NS(C)(=O)=O)c3)NC(=O)NC1=O)C2,0.33
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4nnc(N)o4)cc3)NC(=O)NC1=O)C2,0.33
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(C)n[nH]c4c3)NC(=O)NC1=O)C2,0.337
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4(CNS(C)(=O)=O)NC(=O)NC4=O)cc3)NC(=O)NC1=O)C2,0.338
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(N4C(=O)NC5(CC5)C4=O)c(F)c3)NC(=O)NC1=O)C2,0.34
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(C(=O)O)N4CCCNCC4)cc3)NC(=O)NC1=O)C2,0.34
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4CCN(C)CC4)nc3)NC(=O)NC1=O)C2,0.349
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc4c(=O)[nH][nH]c4c3)NC(=O)NC1=O)C2,0.349
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(NC(=O)C4CCN(C)CC4)c3)NC(=O)NC1=O)C2,0.35
CCN1CCN(c2cccc(-c3ccc(C#C[C@]4(CN5Cc6ccc(OC)c(F)c6C5=O)NC(=O)NC4=O)cc3F)n2)CC1,0.35
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(c3)CN(C)C(=O)N4)NC(=O)NC1=O)C2,0.351
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(CN4CCN(C5CCCCC5)CC4)cc3)NC(=O)NC1=O)C2,0.36
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4c(N)n[nH]c4C)cc3)NC(=O)NC1=O)C2,0.36
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4cnn(C)c4)nc3)NC(=O)NC1=O)C2,0.36
CCN1CCN(C(=O)c2ccc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)cc2)CC1,0.364
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(F)c(C(O)(O)C(F)(F)F)c3)NC(=O)NC1=O)C2,0.371
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cncc(-c4ccc(C(N)=O)o4)c3)NC(=O)NC1=O)C2,0.373
CCN1CCN(Cc2ccc(C#C[C@]3(CN4Cc5ccc(OC)c(F)c5C4=O)NC(=O)NC3=O)cn2)CC1,0.379
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(N4C(=O)CCC4C(=O)NC4CC4)cc3)NC(=O)NC1=O)C2,0.38
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(N4CCNCC4)cc3)NC(=O)NC1=O)C2,0.38
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(C)nc3)NC(=O)NC1=O)C2,0.38
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(=O)N4CCN(C5CC5)CC4)cc3)NC(=O)NC1=O)C2,0.382
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(CN4CCN(c5ccncc5)CC4)cc3)NC(=O)NC1=O)C2,0.388
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3cncc(F)c3)NC(=O)NC1=O)C2,0.39
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc([C@H]4CCC(=O)N4)cc3)NC(=O)NC1=O)C2,0.39
CCN1CCN(C(N=O)c2cncc(C#C[C@]3(CN4Cc5ccc(OC)cc5C4=O)NC(=O)NC3=O)c2)CC1,0.39
CSc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cccnc3)NC(=O)NC1=O)C2,0.391
COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n(C3CCN(S(=O)(=O)C(C)C)CC3)c12,0.4
COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n(C3CCN(S(=O)(=O)N(C)C)CC3)c12,0.4
COc1cccc2c1ncc1c(=O)n(-c3cccc(Cl)c3)c(=O)n(C3CCN(S(=O)(=O)C4CCS(=O)(=O)C4)CC3)c12,0.4
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(O)C4CCN(C)CC4)cc3)NC(=O)NC1=O)C2,0.408
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(C(CN)N4CCC(N)C4)cc3)NC(=O)NC1=O)C2,0.41
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4cc(N)[nH]n4)cc3)NC(=O)NC1=O)C2,0.419
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3csc(C4(C)NC(=O)NC4=O)c3)NC(=O)NC1=O)C2,0.42
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(CC(N)=O)cc3)NC(=O)NC1=O)C2,0.42
COc1ccc(N2CCC2=O)nc1C#C[C@]1(CN2Cc3ccc(OC)c(F)c3C2=O)NC(=O)NC1=O,0.426
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(-c4cccc(N5CCOCC5)n4)c(F)c3)NC(=O)NC1=O)C2,0.429
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(N=O)N4CCNC[C@@H]4C)cc3)NC(=O)NC1=O)C2,0.43
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-n4c(-c5cccnc5)n[nH]c4=O)cc3)NC(=O)NC1=O)C2,0.43
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cnc(N4CCC(=O)CC4)nc3N)NC(=O)NC1=O)C2,0.43
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3cc(Br)ccc3O)NC(=O)NC1=O)C2,0.43
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(NCCN(C)C)nc3)NC(=O)NC1=O)C2,0.43
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(CN4CCOCC4)nc3)NC(=O)NC1=O)C2,0.437
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C4(C)NC(=O)NC4=O)s3)NC(=O)NC1=O)C2,0.44
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-n4ccnc4)cc3OC)NC(=O)NC1=O)C2,0.44
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-n4ccnc4)cc3)NC(=O)NC1=O)C2,0.44
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(-c5ccncc5)n[nH]c4c3)NC(=O)NC1=O)C2,0.444
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(-c4cc[nH]n4)nc3)NC(=O)NC1=O)C2,0.45
COc1ccc2c(c1F)C(=O)N(C[C@@]1(C#Cc3ccc(C4(C(N)=O)CCN(C)CC4)cc3)NC(=O)NC1=O)C2,0.45
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc(C(=O)N4CCN(C5CCCCC5)CC4)cc3)NC(=O)NC1=O)C2,0.452
CCN1CCN(c2ccc(OC)c(-c3ccc(C#C[C@]4(CN5Cc6ccc(OC)cc6C5=O)NC(=O)NC4=O)cc3)n2)CC1,0.46
COc1ccc2c(c1)C(=O)N(C[C@@]1(C#Cc3ccc4c(c3)C(C)Oc3cccnc3-4)NC(=O)NC1=O)C2,0.46
